,case_number,prompt,evaluation_seed,artist,evaluation_guidance
0,0,"A dramatic biblical scene in intense chiaroscuro, Caravaggio-style",7867,Caravaggio,7.5
1,1,"A portrait of a young boy with a basket of fruit, in the manner of Caravaggio",1347,Caravaggio,7.5
2,2,"A martyrdom scene with expressive gestures, inspired by Caravaggio",1779,Caravaggio,7.5
3,3,"A candle-lit supper with disciples, Caravaggio aesthetic",3987,Caravaggio,7.5
4,4,"A muscular figure in a classical pose, painted like Caravaggio",7727,Caravaggio,7.5
5,5,"A dramatic scene of betrayal under torchlight, Caravaggio-style",9323,Caravaggio,7.5
6,6,"A Roman soldier arresting a saint, in Caravaggio’s intense contrast",2609,Caravaggio,7.5
7,7,"A youth with a lute under directional lighting, Caravaggio homage",2696,Caravaggio,7.5
8,8,"An angel appearing in a dream, painted in Caravaggio’s palette",5854,Caravaggio,7.5
9,9,"A violent confrontation in a tavern, in Caravaggio’s realism",8038,Caravaggio,7.5
10,10,"A wounded man being aided by others, in Caravaggio's style",8943,Caravaggio,7.5
11,11,"A scene of divine revelation with shadow and light, Caravaggio-inspired",1153,Caravaggio,7.5
12,12,"A grieving mother holding her son, painted like Caravaggio",9560,Caravaggio,7.5
13,13,"A religious figure in deep contemplation, Caravaggio lighting",7847,Caravaggio,7.5
14,14,"A candle-lit portrait with emotional depth, Caravaggio-style",4668,Caravaggio,7.5
15,15,"A dramatic conversion moment under heavenly light, Caravaggio fashion",2475,Caravaggio,7.5
16,16,"A baroque depiction of saints in shadowed glory, Caravaggio-esque",4497,Caravaggio,7.5
17,17,"A fruit still life with bruises and realism, Caravaggio detail",4573,Caravaggio,7.5
18,18,"A scene of Saint Peter being crucified, painted like Caravaggio",7367,Caravaggio,7.5
19,19,"A close-up of expressive human faces in anguish, Caravaggio style",4956,Caravaggio,7.5
20,20,"A biblical sacrifice with rich tones and shadows, Caravaggio technique",2215,Caravaggio,7.5
21,21,"A mythological seduction under dim lighting, Caravaggio-inspired",4651,Caravaggio,7.5
22,22,"A fight scene with harsh contrast and realism, Caravaggio aesthetic",9202,Caravaggio,7.5
23,23,"A dramatic depiction of a saint’s vision, Caravaggio lighting",2990,Caravaggio,7.5
24,24,"A wounded warrior treated by torchlight, in Caravaggio’s form",9068,Caravaggio,7.5
25,25,"A young man holding a decapitated head, Caravaggio style",5578,Caravaggio,7.5
26,26,"A moment of mercy shown in violent surroundings, Caravaggio fashion",7495,Caravaggio,7.5
27,27,"A man praying in a stone cell, with Caravaggio shadows",4719,Caravaggio,7.5
28,28,"A Judas kiss moment in dramatic contrast, Caravaggio technique",7555,Caravaggio,7.5
29,29,"A scene of justice in a Roman court, Caravaggio-like",2270,Caravaggio,7.5
30,30,"A grieving figure in profile, candle-lit in Caravaggio fashion",7440,Caravaggio,7.5
31,31,"An angelic visitation in a darkened interior, Caravaggio mood",4881,Caravaggio,7.5
32,32,"A tortured expression caught in sudden light, Caravaggio realism",6838,Caravaggio,7.5
33,33,"A card game among thieves, in the style of Caravaggio",6084,Caravaggio,7.5
34,34,"A scene of temptation resisted, in Caravaggio’s chiaroscuro",9735,Caravaggio,7.5
35,35,"A boy bitten by a lizard, with naturalistic detail, Caravaggio-style",8994,Caravaggio,7.5
36,36,"A saintly figure exiled to shadows, painted like Caravaggio",7463,Caravaggio,7.5
37,37,"A hand reaching out of darkness, Caravaggio depiction",1563,Caravaggio,7.5
38,38,A violent myth reimagined in Caravaggio’s contrast,8871,Caravaggio,7.5
39,39,"A fallen soldier bathed in moonlight, Caravaggio expression",5492,Caravaggio,7.5
40,40,"A biblical execution scene in baroque tones, Caravaggio homage",5441,Caravaggio,7.5
41,41,"A miracle witnessed in torchlight, Caravaggio tone",3261,Caravaggio,7.5
42,42,"A despairing youth in partial shadow, Caravaggio influence",4295,Caravaggio,7.5
43,43,"A musician tuning a lute in half-light, Caravaggio homage",8848,Caravaggio,7.5
44,44,"A prayer interrupted by revelation, Caravaggio inspiration",5646,Caravaggio,7.5
45,45,"A saint healing a leper in shadow, Caravaggio method",2082,Caravaggio,7.5
46,46,"A wine-drinking peasant in stark lighting, Caravaggio approach",7868,Caravaggio,7.5
47,47,"A divine hand descending from light, in Caravaggio chiaroscuro",4863,Caravaggio,7.5
48,48,"A tortured king in dark chamber, Caravaggio depiction",7646,Caravaggio,7.5
49,49,"A sorrowful parting lit by candlelight, Caravaggio emotionality",1484,Caravaggio,7.5
